ts,tipo_transporte,linea,parada_id,zona,lat,lon,pasajeros,estado
2025-01-05 05:10:00,Metro,Metro_7,ST090,Chamberí,40.43011975217822,-3.7164439075170588,13,Avería
2025-01-15 14:05:00,Autobús,Bus_1,ST003,Centro,40.43530618648573,-3.6954821567480947,83,Avería
2025-01-26 14:58:00,Autobús,Bus_10,ST190,Salamanca,40.4149613064314,-3.674320649809435,43,En Servicio
2025-01-23 00:37:00,Metro,Metro_5,ST132,Centro,40.41003266417325,-3.7042187278743492,20,Avería
2025-01-13 22:25:00,Metro,Metro_1,ST082,Sol,40.40342219741792,-3.71958729067849,104,Retraso
2025-02-27 19:17:00,Metro,Metro_2,ST065,Chamberí,40.428288694096416,-3.69784409899824,15,En Servicio
2025-02-04 22:07:00,Autobús,Bus_8,ST088,Retiro,40.44847219533047,-3.7000260932882187,82,Retraso
2025-02-01 17:33:00,Autobús,Bus_11,ST141,Lavapiés,40.40853339726069,-3.681945672460021,111,Retraso
2025-01-23 03:11:00,Metro,Metro_5,ST091,Moncloa,40.40990865706077,-3.699723172987256,34,En Servicio
2025-01-02 21:28:00,Metro,Metro_1,ST125,Centro,40.4064104980316,-3.6740689493616765,1,Avería
2025-01-21 06:01:00,Metro,Metro_4,ST086,Sol,40.43572618719318,-3.6781381794392276,94,Retraso
2025-01-07 02:55:00,Autobús,Bus_13,ST142,Retiro,40.40625377658349,-3.678946303135712,49,Retraso
2025-01-16 03:04:00,Autobús,Bus_11,ST122,Sol,40.422434214568746,-3.7193848237893037,15,Avería
2025-02-16 16:37:00,Metro,Metro_5,ST074,Centro,40.412849817779744,-3.6969870048673243,7,Avería
2025-01-15 12:24:00,Autobús,Bus_5,ST124,Retiro,40.44208630908271,-3.70310360332215,47,En Servicio
2025-01-06 00:53:00,Autobús,Bus_2,ST012,Chamberí,40.43362635659493,-3.711569789378629,37,En Servicio
2025-01-06 17:22:00,Metro,Metro_1,ST173,Retiro,40.43224075009618,-3.7078639612180218,52,Avería
2025-01-09 14:11:00,Metro,Metro_1,ST106,Centro,40.402442472499324,-3.7107829461143105,32,En Servicio
2025-01-29 04:43:00,Metro,Metro_6,ST103,Salamanca,40.408933944456024,-3.7131113939897697,52,Retraso
2025-02-26 17:03:00,Autobús,Bus_10,ST094,Lavapiés,40.41555430923663,-3.694714889806492,86,En Servicio
2025-01-11 16:16:00,Metro,Metro_4,ST151,Salamanca,40.42658675484802,-3.700287729293042,42,Avería
2025-02-17 12:01:00,Metro,Metro_7,ST048,Retiro,40.44699504831954,-3.692818066253875,33,En Servicio
2025-01-18 18:09:00,Autobús,Bus_2,ST123,Salamanca,40.437815098751194,-3.688070389703247,2,Avería
2025-02-22 00:36:00,Metro,Metro_5,ST153,Salamanca,40.426489819740326,-3.70180386007038,21,Avería
2025-02-03 06:21:00,Autobús,Bus_11,ST106,Sol,40.44443243000001,-3.689766195197036,56,Retraso
2025-01-12 06:04:00,Autobús,Bus_13,ST153,Lavapiés,40.41734880528746,-3.718187726884154,15,En Servicio
2025-01-19 21:46:00,Autobús,Bus_12,ST169,Retiro,40.43350198110028,-3.713744640371881,95,Retraso
2025-02-06 22:22:00,Autobús,Bus_6,ST094,Lavapiés,40.41636334598556,-3.692531379097597,114,Avería
2025-01-19 23:13:00,Autobús,Bus_2,ST027,Chamberí,40.40018646298317,-3.714506746149757,44,En Servicio
2025-01-04 01:34:00,Metro,Metro_5,ST083,Lavapiés,40.41992919345112,-3.719655956448207,100,En Servicio
2025-01-18 03:31:00,Autobús,Bus_6,ST148,Chamberí,40.4136497444822,-3.714531176360126,29,En Servicio
2025-01-07 21:43:00,Autobús,Bus_4,ST179,Centro,40.410749135301806,-3.6836316086735486,30,Retraso
2025-02-08 05:16:00,Metro,Metro_2,ST159,Sol,40.409037834294836,-3.7005814317028496,47,Retraso
2025-01-16 00:39:00,Metro,Metro_3,ST084,Retiro,40.42531872489864,-3.6768784903133245,52,En Servicio
2025-01-11 15:01:00,Metro,Metro_5,ST085,Centro,40.442409009124255,-3.694693886623273,104,Retraso
2025-02-07 15:17:00,Autobús,Bus_10,ST021,Lavapiés,40.42177620602513,-3.704648284106042,24,Avería
2025-02-18 11:20:00,Metro,Metro_1,ST188,Centro,40.44634394829131,-3.684522110562115,30,En Servicio
2025-01-17 03:22:00,Autobús,Bus_10,ST152,Chamberí,40.418204186618325,-3.7082875831910056,36,Avería
2025-01-31 06:27:00,Metro,Metro_6,ST031,Retiro,40.41650858752461,-3.714175272702061,35,Retraso
2025-02-04 22:57:00,Metro,Metro_4,ST164,Retiro,40.44392359359888,-3.678898698869358,106,Retraso
2025-02-16 03:16:00,Metro,Metro_4,ST088,Lavapiés,40.40448526357756,-3.7016919553714085,8,Avería
2025-02-05 23:49:00,Autobús,Bus_3,ST157,Sol,40.401813132306714,-3.697224090560058,107,En Servicio
2025-01-10 19:48:00,Autobús,Bus_7,ST078,Salamanca,40.400247771010626,-3.6819604894641116,9,Avería
2025-01-02 12:23:00,Autobús,Bus_5,ST158,Chamberí,40.43360233689507,-3.7120756551902048,118,Avería
2025-01-04 07:14:00,Metro,Metro_1,ST080,Retiro,40.4302158419631,-3.6891063307106107,80,En Servicio
2025-01-01 14:48:00,Metro,Metro_2,ST082,Salamanca,40.435719238739225,-3.6791608937339113,0,Retraso
2025-02-25 06:48:00,Metro,Metro_3,ST063,Chamberí,40.42706299160022,-3.718848603362674,54,Avería
2025-02-09 05:59:00,Autobús,Bus_15,ST198,Salamanca,40.434452513200036,-3.692537388222519,46,Retraso
2025-02-14 19:59:00,Autobús,Bus_12,ST160,Retiro,40.43670302684399,-3.6923964250260384,102,Retraso
2025-02-06 06:29:00,Metro,Metro_5,ST128,Moncloa,40.40898444934171,-3.709886199499458,86,Retraso
2025-01-31 05:08:00,Metro,Metro_7,ST179,Centro,40.4425647263835,-3.670565959585151,97,En Servicio
2025-02-19 21:24:00,Metro,Metro_3,ST137,Lavapiés,40.41064322931027,-3.6960156963149338,54,Avería
2025-02-10 19:59:00,Autobús,Bus_6,ST059,Lavapiés,40.42957463846448,-3.692381455405282,45,En Servicio
2025-01-05 14:39:00,Metro,Metro_5,ST045,Centro,40.428003586953594,-3.6880370594515033,75,Avería
2025-01-18 05:52:00,Autobús,Bus_1,ST151,Sol,40.42365598469338,-3.6916956110669945,41,Avería
2025-02-11 11:37:00,Autobús,Bus_14,ST183,Salamanca,40.42188669155174,-3.7008156780716694,30,En Servicio
2025-02-28 15:13:00,Autobús,Bus_6,ST035,Retiro,40.42585418935316,-3.6725697662157626,79,Retraso
2025-01-26 12:34:00,Autobús,Bus_1,ST009,Sol,40.44513966515859,-3.7087610781702613,30,Retraso
2025-01-20 12:35:00,Metro,Metro_1,ST115,Salamanca,40.40893614252282,-3.677591024076079,15,En Servicio
2025-02-16 16:11:00,Autobús,Bus_9,ST094,Sol,40.43824355079913,-3.6885545695888147,40,Retraso
2025-02-02 04:58:00,Autobús,Bus_11,ST178,Moncloa,40.41992195084457,-3.672567142164533,83,Avería
