timestamp,sensor_id,sensor_type,zona,lat,lon,vehiculos_detectados,velocidad_media_kmh,estado_sensor
2025-01-20 17:43:00,S199,Sensor_Aéreo,Moncloa,40.40760793377956,-3.6715058976843022,97,50,MANTENIMIENTO
2025-02-03 00:02:00,S066,Radar,Lavapiés,40.42391578605598,-3.6727415095316545,40,5,MANTENIMIENTO
2025-02-05 11:43:00,S102,Cámara_Tráfico,Moncloa,40.405039073289764,-3.7087914392867822,108,52,OK
2025-02-09 22:11:00,S022,Radar,Centro,40.426401056862545,-3.695486716746342,46,39,FALLO
2025-01-27 21:39:00,S045,Radar,Lavapiés,40.43746961312638,-3.692185288286376,96,86,FALLO
2025-01-19 13:13:00,S173,Radar,Moncloa,40.42552362754648,-3.6791820002778595,83,28,FALLO
2025-01-09 00:24:00,S134,Sensor_Fijo,Sol,40.44663263048009,-3.713990866228739,82,15,MANTENIMIENTO
2025-01-02 11:18:00,S016,Sensor_Aéreo,Sol,40.42306374321165,-3.683935050635931,10,68,OK
2025-01-29 12:57:00,S023,Cámara_Tráfico,Moncloa,40.44854935541826,-3.698511871749443,85,76,OK
2025-01-25 21:16:00,S099,Radar,Centro,40.44954100431541,-3.7055619049368738,22,79,MANTENIMIENTO
2025-01-23 14:34:00,S176,Sensor_Fijo,Lavapiés,40.418280943208266,-3.695406015789977,67,16,MANTENIMIENTO
2025-01-18 01:38:00,S171,Cámara_Tráfico,Chamberí,40.40954776046979,-3.685408252252742,119,30,FALLO
2025-02-09 02:18:00,S157,Cámara_Tráfico,Lavapiés,40.44623744498531,-3.688336291657337,16,12,MANTENIMIENTO
2025-01-21 07:34:00,S158,Sensor_Aéreo,Centro,40.415681107080246,-3.6794472567451257,63,5,MANTENIMIENTO
2025-01-02 14:53:00,S190,Sensor_Aéreo,Lavapiés,40.434021653136554,-3.689708437122794,50,85,FALLO
2025-01-27 10:18:00,S191,Sensor_Aéreo,Chamberí,40.42166544453375,-3.698790323125944,35,60,FALLO
2025-01-08 02:54:00,S093,Sensor_Aéreo,Chamberí,40.40816896148897,-3.713048855368357,7,59,OK
2025-01-29 21:48:00,S174,Sensor_Fijo,Retiro,40.43683133886962,-3.7030863005997707,38,42,OK
2025-01-09 04:24:00,S136,Radar,Retiro,40.416640172347684,-3.7029906385709035,79,84,FALLO
2025-01-19 01:47:00,S092,Radar,Sol,40.43530078826804,-3.6874907651208466,20,23,MANTENIMIENTO
2025-01-26 01:03:00,S096,Sensor_Aéreo,Lavapiés,40.41204544356551,-3.6999236228516095,38,75,MANTENIMIENTO
2025-02-03 19:56:00,S045,Sensor_Fijo,Centro,40.421548163212584,-3.6959140964087136,1,66,FALLO
2025-02-06 22:52:00,S110,Radar,Sol,40.41211159925143,-3.7147598176956937,52,59,MANTENIMIENTO
2025-01-11 17:09:00,S014,Radar,Sol,40.43754184236627,-3.680134623725615,62,51,FALLO
2025-02-05 10:11:00,S061,Radar,Lavapiés,40.40576379166045,-3.7172304260305475,43,57,FALLO
2025-01-16 00:44:00,S185,Sensor_Aéreo,Retiro,40.43056797861673,-3.6955635236969386,71,83,OK
2025-01-03 15:31:00,S138,Sensor_Aéreo,Sol,40.44487479514215,-3.717873168909052,97,24,FALLO
2025-02-09 15:02:00,S161,Sensor_Fijo,Moncloa,40.441756395265365,-3.676482325143395,61,9,MANTENIMIENTO
2025-01-26 19:43:00,S151,Sensor_Fijo,Centro,40.41105840828184,-3.6742311439681083,110,20,MANTENIMIENTO
2025-01-06 05:56:00,S134,Radar,Centro,40.41392324515924,-3.6819932001396305,28,12,FALLO
2025-01-17 12:01:00,S121,Sensor_Aéreo,Retiro,40.41041280837002,-3.7184339453711464,51,87,OK
2025-01-13 08:26:00,S026,Sensor_Fijo,Sol,40.415823981456306,-3.7022341775821035,34,17,MANTENIMIENTO
2025-01-23 10:05:00,S159,Cámara_Tráfico,Centro,40.41707172816571,-3.7189391784258996,32,18,FALLO
2025-01-04 08:50:00,S067,Cámara_Tráfico,Sol,40.41120398338644,-3.6872533554095126,69,79,FALLO
2025-02-08 08:04:00,S095,Sensor_Aéreo,Chamberí,40.424154486150556,-3.7152948345946792,47,9,OK
2025-01-03 14:39:00,S114,Radar,Chamberí,40.41361309489217,-3.7054525714165765,103,43,FALLO
2025-01-23 08:30:00,S044,Radar,Centro,40.43266162048558,-3.6731814188486474,26,67,OK
2025-02-09 02:57:00,S090,Cámara_Tráfico,Retiro,40.43823597857042,-3.6778555753537994,27,58,FALLO
2025-02-09 12:02:00,S001,Radar,Sol,40.40797950026771,-3.716175415154493,4,50,MANTENIMIENTO
2025-01-11 23:40:00,S104,Sensor_Aéreo,Lavapiés,40.4022451164236,-3.685434296301549,66,39,OK
2025-01-09 11:12:00,S102,Cámara_Tráfico,Sol,40.44404165982644,-3.6800970354376488,113,77,FALLO
2025-02-09 14:48:00,S019,Sensor_Fijo,Retiro,40.437826900072636,-3.7142921683724115,53,47,FALLO
2025-01-10 00:06:00,S040,Sensor_Aéreo,Retiro,40.44531113570851,-3.718760501045894,74,69,OK
2025-01-29 14:16:00,S013,Sensor_Aéreo,Chamberí,40.40679964611875,-3.674155241932588,82,43,FALLO
2025-02-06 05:23:00,S007,Sensor_Aéreo,Chamberí,40.434622010319515,-3.7083703186521517,106,89,FALLO
2025-01-27 05:56:00,S100,Radar,Moncloa,40.428034360688976,-3.7138196391852945,89,82,FALLO
2025-02-08 00:20:00,S059,Radar,Sol,40.41485370055399,-3.674776370524429,76,9,OK
2025-01-26 06:11:00,S094,Cámara_Tráfico,Retiro,40.42538940883074,-3.6704105920760495,11,44,MANTENIMIENTO
2025-01-16 04:48:00,S174,Sensor_Fijo,Retiro,40.4471456262985,-3.7018896834717587,75,53,MANTENIMIENTO
2025-01-13 22:19:00,S079,Sensor_Fijo,Moncloa,40.44188054081094,-3.6938497419271994,113,72,OK
2025-01-26 12:00:00,S060,Sensor_Fijo,Retiro,40.40899717379947,-3.6719350058303584,18,60,MANTENIMIENTO
2025-01-06 12:08:00,S196,Radar,Centro,40.439730528175815,-3.683910541461506,44,56,OK
2025-01-07 08:33:00,S114,Sensor_Aéreo,Centro,40.4325803406181,-3.6874887703064996,111,49,MANTENIMIENTO
2025-01-17 21:27:00,S177,Radar,Retiro,40.448320760537534,-3.6844528725243353,69,60,MANTENIMIENTO
2025-02-07 12:08:00,S034,Radar,Retiro,40.407851883022246,-3.6875351222069903,91,55,MANTENIMIENTO
2025-01-17 10:55:00,S140,Sensor_Fijo,Centro,40.438535971687145,-3.67182481463343,94,63,MANTENIMIENTO
2025-01-12 05:06:00,S078,Cámara_Tráfico,Retiro,40.424040770803956,-3.7040439709160733,21,66,MANTENIMIENTO
2025-02-05 21:41:00,S060,Sensor_Aéreo,Moncloa,40.40408037563048,-3.6935760377161633,83,78,FALLO
2025-01-28 07:11:00,S010,Sensor_Aéreo,Sol,40.405323685813975,-3.6837314239363717,39,16,FALLO
2025-01-02 20:49:00,S104,Sensor_Aéreo,Retiro,40.42691518851379,-3.71721465215584,65,32,OK
2025-01-29 13:00:00,S074,Sensor_Fijo,Retiro,40.40439969811338,-3.682644841262056,8,46,MANTENIMIENTO
2025-01-01 13:31:00,S003,Cámara_Tráfico,Retiro,40.4111745895157,-3.694912210809539,22,68,OK
2025-01-26 22:15:00,S056,Sensor_Fijo,Moncloa,40.43927765713,-3.676246395352425,9,11,FALLO
2025-01-05 02:40:00,S186,Radar,Retiro,40.40788190113341,-3.6744747459551963,86,87,OK
2025-01-17 09:06:00,S189,Radar,Centro,40.44302482597132,-3.7167025572185937,5,62,MANTENIMIENTO
2025-02-07 22:13:00,S129,Sensor_Fijo,Moncloa,40.4017948070277,-3.6959750459843406,60,86,OK
2025-01-29 01:26:00,S116,Sensor_Fijo,Moncloa,40.41816493139779,-3.671238594096954,16,6,OK
2025-01-23 03:31:00,S177,Radar,Moncloa,40.40335914616219,-3.698385865729522,23,6,OK
2025-01-29 16:22:00,S050,Sensor_Aéreo,Sol,40.43329996508812,-3.6939256280862094,71,79,FALLO
2025-01-23 01:18:00,S071,Sensor_Aéreo,Centro,40.4393740706306,-3.7167389336544856,47,57,OK
2025-02-08 22:55:00,S174,Radar,Chamberí,40.44785080955999,-3.69292050708886,10,58,FALLO
2025-02-04 13:11:00,S018,Sensor_Fijo,Chamberí,40.41573343113232,-3.7149740904911983,77,74,MANTENIMIENTO
2025-01-01 04:34:00,S072,Cámara_Tráfico,Lavapiés,40.43455831252681,-3.6795886697465803,34,87,OK
2025-02-08 22:52:00,S059,Sensor_Aéreo,Chamberí,40.40865876432601,-3.673633239443081,93,22,MANTENIMIENTO
2025-02-06 20:14:00,S055,Cámara_Tráfico,Centro,40.412227999445115,-3.7173448498309645,107,69,FALLO
2025-02-08 23:05:00,S051,Radar,Chamberí,40.4120931787165,-3.6916226735154236,34,36,MANTENIMIENTO
2025-01-24 14:15:00,S114,Sensor_Fijo,Sol,40.401945643483,-3.715516600268562,20,17,FALLO
2025-01-19 00:20:00,S192,Radar,Lavapiés,40.449068093086474,-3.6812623831681104,112,86,OK
2025-01-15 02:11:00,S019,Cámara_Tráfico,Centro,40.4132571045326,-3.71677092534405,5,9,FALLO
2025-02-03 02:06:00,S170,Sensor_Fijo,Moncloa,40.4273160646045,-3.6970360503743733,22,39,OK
2025-01-30 01:16:00,S080,Sensor_Fijo,Moncloa,40.43567637262085,-3.7030692480388603,110,11,MANTENIMIENTO
2025-01-18 15:29:00,S044,Radar,Lavapiés,40.425229995485374,-3.7068324751751813,12,7,MANTENIMIENTO
2025-01-13 12:56:00,S109,Radar,Moncloa,40.41218004926404,-3.699080564324215,117,27,MANTENIMIENTO
2025-01-07 12:15:00,S070,Sensor_Aéreo,Lavapiés,40.40150949778675,-3.7076342830840776,43,30,FALLO
2025-01-09 06:25:00,S082,Sensor_Fijo,Sol,40.428802491290824,-3.6980910729759753,45,20,FALLO
2025-02-08 07:43:00,S084,Radar,Centro,40.42734206828944,-3.6786859184834233,12,41,OK
2025-01-02 21:51:00,S156,Sensor_Aéreo,Lavapiés,40.426365179222636,-3.7015654460278102,25,12,FALLO
2025-01-18 04:46:00,S111,Radar,Retiro,40.43438606489926,-3.6885092628432377,9,85,OK
