timestamp,vehicle_id,vehicle_type,lat,lon,velocidad_kmh,congestion_level,zona
2025-01-31 06:32:00,V133,Moto,40.439537310248895,-3.698082622698958,46,alto,Retiro
2025-01-23 17:51:00,V043,Bus,40.42690883276061,-3.6835815522132402,12,alto,Retiro
2025-01-28 10:34:00,V024,Taxi,40.40868671173618,-3.7075955686251865,18,medio,Sol
2025-01-14 07:29:00,V054,Bus,40.42111654545083,-3.6955123580105753,6,alto,Sol
2025-01-11 12:23:00,V136,Bus,40.436992203106975,-3.704651418647723,57,alto,Centro
2025-01-30 14:42:00,V191,Moto,40.43580272418428,-3.6898270750361726,15,medio,Centro
2025-01-08 03:05:00,V024,Moto,40.40051341186964,-3.718376970376442,36,alto,Sol
2025-01-31 00:45:00,V067,Taxi,40.42966288855523,-3.7136723189871073,15,medio,Moncloa
2025-01-14 07:54:00,V024,Taxi,40.421689483345794,-3.6986330730987085,46,bajo,Moncloa
2025-01-28 07:14:00,V145,Moto,40.418407816935876,-3.704905638346541,62,bajo,Retiro
2025-01-16 20:31:00,V151,Taxi,40.43117175845366,-3.7027726246968067,52,medio,Retiro
2025-01-21 18:27:00,V196,Moto,40.43847200004364,-3.702215960397335,22,medio,Sol
2025-02-02 21:00:00,V122,Bus,40.4279734773601,-3.7154641041457293,7,bajo,Centro
2025-01-30 22:30:00,V032,Moto,40.437236610428194,-3.703589598089662,56,alto,Moncloa
2025-01-18 00:17:00,V054,Moto,40.423794182949635,-3.6887672095646242,16,alto,Retiro
2025-01-29 02:39:00,V039,Bus,40.43829836841528,-3.716176530298502,46,alto,Retiro
2025-01-31 09:34:00,V026,Taxi,40.40549380143808,-3.694720595071629,31,alto,Retiro
2025-01-25 15:30:00,V084,Taxi,40.422024080595165,-3.7160533571229397,61,bajo,Moncloa
2025-01-10 04:35:00,V110,Moto,40.43126318384744,-3.7045618436025762,67,bajo,Retiro
2025-01-14 07:27:00,V037,Bus,40.42184031590368,-3.6821710205204576,13,medio,Retiro
2025-02-01 08:25:00,V007,Bus,40.40895007389085,-3.712027198509553,40,bajo,Centro
2025-01-07 17:23:00,V071,Taxi,40.43606944025636,-3.700555374102187,48,alto,Centro
2025-01-04 00:25:00,V200,Taxi,40.43053776700257,-3.6953637330234397,64,alto,Sol
2025-01-08 21:42:00,V129,Taxi,40.4199622766656,-3.68615917610543,17,bajo,Retiro
2025-01-03 02:43:00,V059,Moto,40.40065645906522,-3.6976217594446563,53,medio,Sol
2025-01-05 23:30:00,V200,Bus,40.439026920021384,-3.6857987658526206,62,alto,Moncloa
2025-01-29 14:03:00,V050,Moto,40.4374987415122,-3.6948559329255404,58,bajo,Sol
2025-01-21 05:52:00,V059,Taxi,40.4171273121598,-3.7116220499353485,54,bajo,Centro
2025-01-25 17:22:00,V077,Bus,40.41745754061183,-3.7123405437684065,40,alto,Sol
2025-01-31 14:06:00,V070,Moto,40.411145508959784,-3.687050155794003,21,alto,Sol
2025-01-16 23:38:00,V024,Bus,40.429272143268854,-3.7036940019864213,13,medio,Sol
2025-01-22 17:13:00,V158,Bus,40.43059898440186,-3.7032969410796186,30,bajo,Centro
2025-01-02 03:13:00,V175,Taxi,40.42671368717444,-3.6803325397540467,19,medio,Centro
2025-01-03 03:20:00,V005,Bus,40.420325651808874,-3.682605926021899,32,bajo,Centro
2025-02-03 18:45:00,V086,Moto,40.4125494895265,-3.702904903050637,53,medio,Sol
2025-01-13 06:17:00,V162,Bus,40.40742417629624,-3.691086566217124,61,medio,Centro
2025-02-04 03:41:00,V022,Taxi,40.40502679436343,-3.7075682445191878,45,medio,Sol
2025-01-26 22:32:00,V010,Bus,40.40679208048137,-3.705369619442382,64,medio,Centro
2025-01-19 21:50:00,V169,Taxi,40.432793886498686,-3.6980877786135053,8,bajo,Centro
2025-01-06 16:01:00,V184,Taxi,40.42306669149725,-3.71151024241351,58,medio,Sol
2025-01-27 01:50:00,V165,Moto,40.415030499008076,-3.7195575782327737,39,medio,Sol
2025-01-12 08:57:00,V194,Taxi,40.43665507090064,-3.683834333665881,17,alto,Moncloa
2025-01-14 03:43:00,V166,Moto,40.413882029672195,-3.704110060873202,66,alto,Retiro
2025-01-22 23:45:00,V159,Moto,40.43294827594135,-3.71936841472288,54,bajo,Centro
2025-01-24 01:41:00,V036,Taxi,40.413679756347975,-3.680348223406895,19,medio,Centro
2025-01-05 02:58:00,V075,Bus,40.40775589144513,-3.7030496363836085,11,medio,Centro
2025-01-05 08:22:00,V099,Taxi,40.419234593476205,-3.6969895780627438,25,medio,Centro
2025-02-01 05:33:00,V160,Moto,40.428284571875,-3.69135135650234,17,medio,Centro
2025-01-03 18:11:00,V197,Moto,40.401248540537516,-3.7092598241617116,32,bajo,Centro
2025-01-25 03:01:00,V120,Bus,40.41948776820802,-3.6902731945988942,11,medio,Moncloa
2025-01-18 05:04:00,V179,Taxi,40.416489333386735,-3.713822583295798,61,bajo,Moncloa
